Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Channel,Hex (A curse on both houses),Distance (m)
457012,38,2020-08-21 15:16:28,A69-1602,65477,54.5,25,0,#95,52.25
457012,39,2020-08-21 15:16:36,A69-1602,65477,57,25.5,0,#8F,52.25
457012,40,2020-08-21 15:16:44,A69-1602,65477,80,26.5,0,#83,52.25
457012,41,2020-08-21 15:16:53,A69-1602,65477,80,29,0,#80,52.25
457012,42,2020-08-21 15:17:01,A69-1602,65477,79.5,28.5,0,#94,52.25
457012,43,2020-08-21 15:17:09,A69-1602,65477,79.5,26.5,0,#A4,52.25
#9457012,45,2020-08-21 15:17:17,A69-1602,65477,79,26,0,#91,52.25
,,,,,,,,,
,,,,,,,,,
#9:35,,,,,,,,,
,,,,,,,,,
457012,46,2020-08-21 15:17:33,A69-1602,65477,55.5,34,0,#8E,57
457012,47,2020-08-21 15:17:42,A69-1602,65477,57,27,0,#8C,57
457012,48,2020-08-21 15:17:50,A69-1602,65477,56.5,30.5,0,#A3,57
457012,49,2020-08-21 15:17:58,A69-1602,65477,55.5,24,0,#A0,57
457012,50,2020-08-21 15:18:14,A69-1602,65477,78,25,0,#88,57
457012,51,2020-08-21 15:18:23,A69-1602,65477,74.5,26,0,#89,57
457012,52,2020-08-21 15:18:31,A69-1602,65477,74,27,0,#8E,57
457012,53,2020-08-21 15:18:39,A69-1602,65477,76,25,0,#96,57
457012,54,2020-08-21 15:18:47,A69-1602,65477,74.5,24.5,0,#93,57
457012,55,2020-08-21 15:18:55,A69-1602,65477,77,24.5,0,#90,57
457012,56,2020-08-21 15:19:03,A69-1602,65477,75,24.5,0,#87,57
457012,58,2020-08-21 15:19:12,A69-1602,65477,73.5,29,0,#95,57
457012,59,2020-08-21 15:19:20,A69-1602,65477,74.5,26,0,#9A,57
,,,,,,,,,
,,,,,,,,,
#9:37,,,,,,,,,
457012,60,2020-08-21 15:19:36,A69-1602,65477,55,25.5,0,#8C,51.12
457012,61,2020-08-21 15:19:52,A69-1602,65477,41,24.5,0,#8C,51.12
457012,62,2020-08-21 15:20:01,A69-1602,65477,40.5,22.5,0,#7F,51.12
457012,63,2020-08-21 15:20:25,A69-1602,65477,40,24,0,#7B,51.12
457012,64,2020-08-21 15:20:33,A69-1602,65477,39,23,0,#82,51.12
457012,65,2020-08-21 15:20:50,A69-1602,65477,40.5,22,0,#84,51.12
457012,66,2020-08-21 15:20:58,A69-1602,65477,40,22,0,#7F,51.12
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
#9:41 no real data for a while,,,,,,,,,
,,,,,,,,,
457012,67,2020-08-21 15:21:06,A69-1602,65477,42,22.5,0,#82,34.04
457012,68,2020-08-21 15:21:14,A69-1602,65477,43.5,20.5,0,#85,34.04
457012,69,2020-08-21 15:21:22,A69-1602,65477,42,21.5,0,#80,34.04
457012,70,2020-08-21 15:21:31,A69-1602,65477,76.5,27.5,0,#88,34.04
457012,71,2020-08-21 15:21:39,A69-1602,65477,76.5,28,0,#95,34.04
457012,72,2020-08-21 15:21:47,A69-1602,65477,77.5,27.5,0,#A3,34.04
457012,73,2020-08-21 15:21:55,A69-1602,65477,76.5,28,0,#8D,34.04
457012,74,2020-08-21 15:22:03,A69-1602,65477,78,25,0,#82,34.04
457012,75,2020-08-21 15:22:12,A69-1602,65477,77,29.5,0,#92,34.04
457012,76,2020-08-21 15:22:20,A69-1602,65477,78.5,25.5,0,#9C,34.04
457012,77,2020-08-21 15:22:28,A69-1602,65477,79.5,32.5,0,#A4,34.04
457012,78,2020-08-21 15:22:52,A69-1602,65477,50.5,27,0,#8B,34.04
457012,79,2020-08-21 15:23:01,A69-1602,65477,52,23,0,#7E,34.04
457012,80,2020-08-21 15:23:17,A69-1602,65477,51,22,0,#81,34.04
457012,81,2020-08-21 15:23:25,A69-1602,65477,51,22.5,0,#83,34.04
457012,82,2020-08-21 15:23:33,A69-1602,65477,52.5,24,0,#84,34.04
457012,83,2020-08-21 15:23:41,A69-1602,65477,50.5,23.5,0,#8C,34.04
457012,84,2020-08-21 15:23:50,A69-1602,65477,51.5,22,0,#8E,34.04
457012,85,2020-08-21 15:23:58,A69-1602,65477,53,22,0,#91,34.04
457012,86,2020-08-21 15:24:06,A69-1602,65477,52.5,22.5,0,#89,34.04
457012,88,2020-08-21 15:24:14,A69-1602,65477,53.5,26.5,0,#8C,34.04
457012,89,2020-08-21 15:24:22,A69-1602,65477,55,23,0,#89,34.04
457012,90,2020-08-21 15:24:31,A69-1602,65477,55,22.5,0,#82,34.04
457012,91,2020-08-21 15:24:39,A69-1602,65477,56.5,24,0,#96,34.04
457012,92,2020-08-21 15:24:47,A69-1602,65477,54,22,0,#8A,34.04
457012,93,2020-08-21 15:24:55,A69-1602,65477,55.5,22.5,0,#93,34.04
457012,94,2020-08-21 15:25:03,A69-1602,65477,80,28.5,0,#8C,34.04
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
457012,95,2020-08-21 15:25:11,A69-1602,65477,81.5,27,0,#8B,34.04
457012,96,2020-08-21 15:25:20,A69-1602,65477,79.5,27.5,0,#9F,34.04
457012,97,2020-08-21 15:25:28,A69-1602,65477,80,27,0,#8C,34.04
457012,98,2020-08-21 15:25:36,A69-1602,65477,79.5,27,0,#AA,34.04
457012,99,2020-08-21 15:25:44,A69-1602,65477,80.5,26.5,0,#9D,34.04
457012,100,2020-08-21 15:25:52,A69-1602,65477,79.5,27,0,#8E,34.04
457012,101,2020-08-21 15:26:01,A69-1602,65477,73,26.5,0,#81,34.04
457012,102,2020-08-21 15:26:09,A69-1602,65477,74.5,27,0,#8C,34.04
457012,104,2020-08-21 15:26:17,A69-1602,65477,76,28,0,#92,34.04
457012,105,2020-08-21 15:26:25,A69-1602,65477,79,25,0,#88,34.04
457012,106,2020-08-21 15:26:33,A69-1602,65477,80.5,26,0,#84,34.04
,,,,,,,,,
,,,,,,,,,
#9:45,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
457012,107,2020-08-21 15:26:50,A69-1602,65477,61,25,0,#84,19.2
457012,108,2020-08-21 15:27:06,A69-1602,65477,63,25.5,0,#93,19.2
457012,109,2020-08-21 15:27:14,A69-1602,65477,62,28.5,0,#8A,19.2
457012,110,2020-08-21 15:27:22,A69-1602,65477,61,25,0,#75,19.2
457012,111,2020-08-21 15:27:30,A69-1602,65477,63.5,25,0,#8B,19.2
457012,112,2020-08-21 15:27:39,A69-1602,65477,64.5,24.5,0,#97,19.2
457012,113,2020-08-21 15:27:47,A69-1602,65477,64.5,24.5,0,#95,19.2
,,,,,,,,,
,,,,,,,,,
#9:47,,,,,,,,,
