Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Channel
457012,139,2020-08-21 14:12:05.899,A69-1602,65477,82.0,55.5,0,#99
457012,140,2020-08-21 14:12:14.078,A69-1602,65477,82.0,51.0,0,#7D
457012,141,2020-08-21 14:12:22.257,A69-1602,65477,82.0,54.0,0,#7F
457012,143,2020-08-21 14:13:35.871,A69-1602,65477,81.5,50.5,0,#8D
457012,145,2020-08-21 14:13:44.050,A69-1602,65477,82.0,50.5,0,#80
457012,146,2020-08-21 14:13:52.229,A69-1602,65477,81.5,50.5,0,#8C
457012,147,2020-08-21 14:14:00.408,A69-1602,65477,82.0,51.0,0,#7E
457012,148,2020-08-21 14:14:08.587,A69-1602,65477,82.0,50.5,0,#93
457012,149,2020-08-21 14:14:16.766,A69-1602,65477,82.0,52.5,0,#94
457012,150,2020-08-21 14:14:24.946,A69-1602,65477,81.5,53.5,0,#90
