Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Channel
457012,111,2020-08-21 15:27:30.489,A69-1602,65477,63.5,25.0,0,#8B
457012,112,2020-08-21 15:27:38.667,A69-1602,65477,64.5,24.5,0,#97
457012,113,2020-08-21 15:27:46.845,A69-1602,65477,64.5,24.5,0,#95
""
""
#9:47
""
""
""
""
